SA2,SA2 NAME,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19
102011030,Calga - Kulnura,2818,2896,2998,2932,2933,48,49,48,49,49,157983983,169327765,176001279,170056058,174684785,42105,42854,43716,42630,44506,56062,58470,58706,58000,59558
102011031,Erina - Green Point,7568,7543,7822,7869,7938,48,49,48,48,48,464630999,472848904,492374825,510666699,530946051,43481,44950,45238,46102,48152,61394,62687,62947,64896,66887
102011032,Gosford - Springfield,10262,10289,10552,10768,10958,42,42,42,42,42,578293221,585804053,613182525,645309101,678336368,45972,46910,47475,49733,51263,56353,56935,58111,59928,61903
102011033,Kariong,3538,3584,3702,3721,3818,42,42,42,42,42,197863156,205376965,214234158,220773298,239477019,47896,49725,51083,51647,53945,55925,57304,57870,59332,62723
102011034,Kincumber - Picketts Valley,3950,3873,4024,4025,4011,46,47,47,46,46,203291723,201002512,215049794,226139779,238346130,41642,43003,43379,45167,48278,51466,51898,53442,56184,59423
102011035,Narara,3820,3849,4049,4104,4119,43,43,43,43,43,204931962,211316290,222724763,233329092,242382933,46660,48121,47951,49459,51826,53647,54902,55007,56854,58845
102011036,Niagara Park - Lisarow,4585,4623,4771,4904,4922,44,44,44,44,44,253242440,263029555,277283428,287228693,298572813,45762,46729,48386,49137,51028,55233,56896,58119,58570,60661
102011037,Point Clare - Koolewong,3427,3493,3532,3610,3623,46,47,46,47,47,192698191,200628203,203261554,213482019,222083915,45966,47052,47434,48352,51171,56229,57437,57549,59136,61298
102011038,Saratoga - Davistown,4022,4057,4149,4218,4207,47,46,46,46,47,216126979,227666583,241694783,255782452,262158192,43171,44662,45651,48166,49298,53736,56117,58254,60641,62315
102011039,Terrigal - North Avoca,8338,8420,8727,8939,8915,46,45,46,46,46,537637079,568497105,613703491,636885466,658994922,46422,48555,49829,51063,52678,64480,67517,70322,71248,73920
102011040,Umina - Booker Bay - Patonga,11708,12037,12326,12673,12823,46,46,46,46,46,576435778,605172683,635432729,674495519,720502302,40252,41368,42225,43381,45507,49234,50276,51552,53223,56188
102011041,Wamberal - Forresters Beach,5920,5966,6151,6309,6335,45,45,46,46,46,380929905,395635005,408833821,423479362,438118830,47295,49041,49354,50322,51249,64346,66315,66466,67123,69158
102011042,Woy Woy - Blackwall,6684,6880,7038,7149,7240,46,46,46,46,46,339464232,362719989,378803067,394590883,411081957,42481,43984,44539,45944,47595,50788,52721,53823,55195,56779
102011043,Wyoming,5697,5874,5942,5992,6021,44,44,44,43,43,280781043,298906782,306692312,322353500,333033074,43438,45070,45159,47003,48985,49286,50886,51614,53797,55312
102021044,Bateau Bay - Killarney Vale,10606,10934,11614,11525,11552,44,43,43,43,43,524333275,549544259,599197746,612869161,636875062,42469,43465,44849,46017,47293,49437,50260,51593,53177,55131
102021045,Blue Haven - San Remo,5005,5145,5432,5533,5669,40,40,40,39,39,234449912,248435866,262828444,277352873,295720022,42641,44332,44241,45990,47722,46843,48287,48385,50127,52164
102021046,Budgewoi - Buff Point - Halekulani,4312,4388,4584,4635,4624,45,45,45,45,44,212129119,215680534,230852360,240861811,250001059,41702,41847,43624,45086,47257,49195,49152,50360,51966,54066
102021047,Chittaway Bay - Tumbi Umbi,8348,8558,9088,9173,9004,44,44,44,43,44,442415939,461451846,494962322,514653078,519541857,45015,46556,46984,48670,49671,52997,53921,54463,56105,57701
102021048,Gorokan - Kanwal - Charmhaven,9644,9971,10256,10399,10481,44,43,43,43,42,446204871,472233266,494602771,517060776,531806166,41051,42005,43265,45122,46152,46268,47361,48226,49722,50740
102021049,Jilliby - Yarramalong,1990,2005,2117,2166,2168,47,47,47,47,47,127440367,140969303,136956708,138874284,144523893,44122,45813,46795,47406,50362,64040,70309,64694,64116,66662
102021050,Lake Munmorah - Mannering Park,4730,4853,5011,5045,5062,45,45,45,45,45,226930900,244931027,253687960,259209756,267277757,41152,43803,44114,44708,46271,47977,50470,50626,51380,52801
102021051,Ourimbah - Fountaindale,2932,2930,3000,3026,3094,44,44,44,44,44,177931589,184496334,188455002,196852029,201202256,48214,50776,50932,51259,52955,60686,62968,62818,65054,65030
102021052,Summerland Point - Gwandalan,2858,2981,3088,3211,3274,45,45,45,45,45,142123972,149462623,159747093,170151794,178689901,42683,42399,44718,46064,47932,49728,50138,51732,52990,54578
102021053,The Entrance,10024,9416,7765,9571,11123,43,44,46,45,44,511920965,495139200,398281425,517325852,633209514,44137,45934,42211,46213,50302,51070,52585,51292,54051,56928
102021054,Toukley - Norah Head,4320,4437,4693,4636,4661,45,45,45,45,45,210391544,219916400,236771997,243210007,257295784,39615,41417,42525,44592,45767,48702,49564,50452,52461,55202
102021055,Tuggerah - Kangy Angy,2783,2933,3001,3030,3064,42,42,43,43,43,144533448,158584853,164613921,172762888,180535650,44360,46405,47431,49211,50084,51934,54069,54853,57017,58922
102021056,Warnervale - Wadalba,7073,7582,8402,8885,9277,41,41,41,41,41,393712371,426787290,477172207,524039309,563897504,47983,48313,49533,50766,52926,55664,56290,56793,58980,60784
102021057,Wyong,3922,4053,4064,4210,4256,44,43,43,43,43,188063400,200257485,203795249,218405135,222827781,41055,43232,44100,46129,46471,47951,49410,50146,51878,52356
103011058,Bathurst,12200,12251,12490,12696,12991,43,43,43,42,42,675452949,695036959,708940937,743685729,783845750,46083,47499,47969,49290,51622,55365,56733,56761,58576,60338
103011059,Bathurst - East,5463,5730,5755,6012,6179,43,43,43,43,43,309253291,334555198,339165600,360626744,377425547,48664,50229,50975,52488,53555,56609,58387,58934,59984,61082
103011060,Bathurst Region,3874,3799,3893,4032,4138,48,48,48,49,49,211359579,212053953,212932707,220864374,233829039,44179,44146,45824,45852,48247,54558,55818,54696,54778,56508
103011061,Oberon,2460,2434,2476,2546,2563,48,48,47,48,48,124137517,125265092,125529161,133597033,134852801,44587,44918,45416,47314,48032,50462,51465,50698,52473,52615
103021062,Condobolin,3559,3518,3596,3566,3513,46,45,45,45,45,186384444,172338936,181630749,173133871,127334392,42055,40275,40978,40858,34113,52370,48988,50509,48551,36247
103021063,Cowra,4853,4461,4903,4756,4834,47,46,47,47,48,217663439,199069642,225555464,225116551,235155890,38330,38329,39417,41168,42334,44851,44624,46004,47333,48646
103021064,Cowra Region,2513,2552,2676,2829,2801,49,48,48,48,48,113285106,120791226,130798478,136326369,131262698,36887,39277,38949,40377,40541,45080,47332,48878,48189,46863
103021065,Forbes,5160,5220,5294,5346,5327,46,45,46,45,45,258176000,269124912,272780863,284301264,266171367,41692,42955,43527,44921,44268,50034,51556,51526,53180,49966
103021066,Grenfell,1888,1818,1910,1852,1851,50,50,51,51,51,88487366,95475804,89322153,94611201,79752298,37639,40534,38957,41811,37479,46868,52517,46766,51086,43086
103021067,Parkes (NSW),5688,5272,5476,5736,5737,43,43,43,43,43,296387210,282481368,292751213,311178287,319878563,43510,45381,45529,45898,47392,52107,53581,53461,54250,55757
103021068,Parkes Region,1703,1509,1601,1706,1680,50,48,49,48,48,81553325,69567245,72965141,74764570,60261510,37201,36497,38487,38089,34777,47888,46102,45575,43824,35870
103021069,West Wyalong,3126,2998,3132,3123,3177,48,48,47,47,47,161535435,156673831,166964954,155256706,152934332,39539,40730,40718,40758,39663,51675,52259,53309,49714,48138
103031070,Lithgow,5531,5581,5604,5668,5706,45,45,46,45,45,311223562,312317758,318324484,331277661,341824793,43716,44863,45448,46516,48039,56269,55961,56803,58447,59906
103031071,Lithgow Region,4132,4080,4208,4337,4387,48,48,48,48,47,225802600,218532469,228604509,239825991,252046931,43018,43686,44640,45391,47877,54647,53562,54326,55298,57453
103031072,Mudgee,6230,6254,6441,6579,6811,43,43,43,43,42,369363112,378409674,392155923,421506609,454510611,44318,45818,46550,49604,52277,59288,60507,60884,64068,66732
103031073,Mudgee Region - East,1439,1413,1444,1499,1434,50,50,51,50,50,62751869,63653542,66489281,71068249,71956409,35000,35470,36084,36374,39023,43608,45049,46045,47410,50179
103031074,Mudgee Region - West,4968,4895,5133,5439,5488,47,47,47,47,47,248449570,253416420,267358425,297284632,299359236,37213,38923,40394,41585,41921,50010,51770,52086,54658,54548
103031075,Wollangambe - Wollemi,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
103041076,Blayney,3803,3714,3936,3987,4058,46,46,47,47,47,207381791,204271158,221106408,224493024,227406362,44079,45325,45820,47530,48139,54531,55000,56175,56306,56039
103041077,Orange,9440,9530,9583,9860,9909,44,44,43,43,43,513936438,529351669,542144121,578665263,595631863,44963,45920,46006,48389,50067,54442,55546,56574,58688,60110
103041078,Orange - North,11097,10703,11555,11862,12309,41,40,41,41,41,675509600,669389817,734369614,791371554,818863071,50844,52125,53064,54528,56000,60873,62542,63554,66715,66526
103041079,Orange Region,6317,6404,6496,6678,6711,46,46,46,47,46,368521116,375003751,393681903,412265925,406374581,45917,45472,46337,47842,48355,58338,58558,60604,61735,60554
104011080,Grafton,8387,8573,8560,8878,8987,46,46,45,45,45,370582688,402416223,406199009,434087584,456991716,38778,40464,41259,42485,44394,44185,46940,47453,48895,50850
104011081,Grafton Region,7128,7180,7581,7877,8080,50,50,50,50,49,284854879,301280966,326722080,351353341,368033070,33833,35627,36791,38550,39600,39963,41961,43097,44605,45549
104011082,Maclean - Yamba - Iluka,7647,7851,8138,8371,8664,51,51,51,50,51,310067446,335796653,360059591,390555355,423492811,31689,33477,34583,36695,37994,40548,42771,44244,46656,48880
104021083,Bellingen,3064,3104,3165,3292,3388,49,50,49,49,49,131764736,144289562,146617578,148746467,160410382,33808,35751,36526,36038,38017,43004,46485,46325,45184,47347
104021084,Coffs Harbour - North,9081,9121,9266,9233,9530,45,45,45,45,44,428346167,434200590,447248267,452542961,479365654,38548,39631,39950,41271,42784,47169,47604,48268,49014,50301
104021085,Coffs Harbour - South,5158,5180,5428,5521,5557,45,45,44,45,45,255218084,252893438,272772123,283636466,298056123,39287,40117,40754,42240,44190,49480,48821,50253,51374,53636
104021086,Coramba - Nana Glen - Bucca,2147,2164,2243,2323,2346,47,47,47,47,48,106872362,101092035,107765344,115315852,119297362,38055,39423,41173,41453,43889,49778,46715,48045,49641,50851
104021087,Dorrigo,1632,1694,1696,1674,1689,53,53,53,53,53,59351574,65775450,68514006,65600062,65025337,28889,30689,32241,31851,31594,36367,38828,40397,39188,38499
104021088,Korora - Emerald Beach,5208,5349,5640,5863,6110,47,47,47,47,47,286015644,303393693,331220520,354916403,374426820,40847,42005,43845,45767,47196,54919,56720,58727,60535,61281
104021089,Sawtell - Boambee,10387,10518,10656,10897,10999,46,46,46,46,46,493638397,513195965,520748894,546816837,572906548,40399,41234,41955,43199,44419,47525,48792,48869,50180,52087
104021090,Urunga,2365,2437,2463,2461,2492,51,51,51,51,51,107045040,112764223,114807497,114278629,120740602,38455,39685,39066,38106,40566,45262,46272,46613,46436,48451
104021091,Woolgoolga - Arrawarra,6747,7127,7333,7467,7906,44,44,43,44,43,287271724,302366813,314576030,338207005,374068058,34008,35010,35436,37111,37935,42578,42426,42899,45294,47314
105011092,Bourke - Brewarrina,1800,1713,1751,1805,1795,44,45,44,44,43,90101915,90111688,102226960,96068796,94063761,44812,48189,49984,48627,49223,50057,52605,58382,53224,52403
105011093,Cobar,2420,2362,2409,2382,2288,41,41,41,41,42,170157974,160715845,172057121,165276726,148186502,57202,56039,58291,57143,56452,70313,68042,71423,69386,64767
105011094,Coonamble,1875,1703,1847,1899,1900,46,46,46,47,46,88240875,87644942,124376302,93551818,61861588,41197,43463,47274,43039,37076,47062,51465,67340,49264,32559
105011095,Nyngan - Warren,2910,2912,2934,2834,2783,46,45,45,46,46,174991609,169047500,180736589,156699591,137780823,47832,47446,46750,46508,43400,60135,58052,61601,55293,49508
105011096,Walgett - Lightning Ridge,2716,2350,2665,2713,2536,45,44,44,44,45,79109546,76721267,164381547,124499959,74299803,32548,35986,41025,38840,36962,29127,32647,61682,45890,29298
105021097,Broken Hill,8548,8341,8311,8523,8482,45,45,45,44,44,473775080,473523244,495920447,506001826,513456526,46595,48050,49696,50631,52690,55425,56771,59670,59369,60535
105021098,Far West,918,880,892,912,862,47,47,47,46,47,54729173,53189952,64250316,55887459,31332889,45751,45829,48452,45288,40244,59618,60443,72030,61280,36349
105031099,Coonabarabran,3751,3525,3723,3727,3642,49,49,49,49,49,164468043,162456173,176990573,170299003,137575970,36679,36956,38509,37147,35526,43846,46087,47540,45693,37775
105031100,Dubbo - East,5877,5692,5798,5945,5996,41,42,41,41,41,320596983,316226811,327330284,340741035,352884738,45636,47182,47391,49033,51831,54551,55556,56456,57316,58853
105031101,Dubbo - South,9152,9271,9729,10018,10451,41,41,40,40,40,492368742,511332019,551836618,580216319,628772833,46632,48151,49472,50937,53491,53799,55154,56721,57917,60164
105031102,Dubbo - West,4344,4436,4705,4895,5209,40,41,40,40,39,234181837,246289145,267816165,286605258,313289086,45545,46757,47953,49650,51815,53909,55521,56922,58551,60144
105031103,Dubbo Region,3247,2979,3271,3535,3479,46,46,46,46,46,165377358,156424674,177108824,193972814,180256185,43234,44921,46577,47314,48018,50932,52509,54145,54872,51813
105031104,Gilgandra,2187,2175,2174,2228,2161,47,48,47,47,48,98777822,99818734,104766933,97269199,79722531,36790,39418,42140,39134,35379,45166,45894,48191,43658,36891
105031105,Narromine,3457,3403,3390,3451,3460,46,46,46,46,46,166259976,168874731,177810552,176370073,161098941,40209,42194,43745,44073,42435,48094,49625,52451,51107,46560
105031106,Wellington,3822,4385,4142,3925,3920,47,46,46,47,47,178031409,197915894,199942054,185251632,174676171,39393,36450,40084,41586,40320,46581,45135,48272,47198,44560
106011107,Branxton - Greta - Pokolbin,5516,5668,5900,6240,6622,43,42,42,42,41,370198443,363446297,384163494,409749475,460068243,50743,49868,51662,52083,54551,67114,64122,65112,65665,69476
106011108,Cessnock,9083,9316,9454,9761,9995,41,41,41,41,40,495933928,500816466,511916244,542635629,568196874,43193,43480,45013,45882,47926,54600,53759,54148,55592,56848
106011109,Cessnock Region,4072,4128,4331,4514,4688,46,46,46,46,45,229083644,237917810,251095060,261545165,289416064,43790,44673,45619,46466,48128,56258,57635,57976,57941,61736
106011110,Dungog,4723,4827,4910,5021,5123,48,48,48,48,48,240137642,247605036,257515068,267847798,283919111,39901,41152,41469,42515,44222,50844,51296,52447,53346,55420
106011111,Kurri Kurri - Abermain,7932,8168,8487,8855,9366,41,41,40,40,39,409057462,423961925,448247798,482166646,526349318,44246,45134,46679,48490,50235,51571,51905,52816,54451,56198
106011112,Singleton,8644,8630,8913,9139,9219,41,42,41,41,41,636710105,629063796,630453313,661671616,684947701,54563,54866,54152,57395,58486,73659,72893,70734,72401,74297
106011113,Singleton Region,2821,2666,2811,2910,2962,46,46,46,46,46,184657087,178526050,176451762,190033546,201521381,46197,48370,47378,49836,50522,65458,66964,62772,65304,68036
106021114,Maitland,3137,3386,3722,3906,4121,39,38,38,38,38,184947530,200394431,224927617,242053880,259571025,47404,49752,51139,53182,54241,58957,59183,60432,61970,62987
106021115,Maitland - East,14264,14472,14952,15497,15893,42,42,42,42,42,827608779,848499655,880711697,940864558,994327524,48653,49205,50000,51152,52923,58021,58630,58903,60713,62564
106021116,Maitland - North,4300,4363,4497,4702,4874,44,44,45,45,44,300495815,307280051,324864182,345041801,359785334,53751,53756,55196,57239,57585,69883,70429,72240,73382,73817
106021117,Maitland - West,10850,11317,11740,12168,12679,39,39,39,39,39,659529568,680127944,714225598,766926355,809186760,48838,49024,49913,50800,52990,60786,60098,60837,63028,63821
106021118,Thornton - Millers Forest,5601,5846,6447,6938,7464,42,41,41,40,39,334269971,353306435,396374923,442102367,489248263,50942,52047,53826,56532,58635,59680,60436,61482,63722,65548
106031119,Anna Bay,3018,3050,3089,3187,3329,46,46,46,46,47,158299475,156911583,158907323,170970394,183860583,39921,39868,40039,41920,42059,52452,51446,51443,53646,55230
106031120,Lemon Tree Passage - Tanilba Bay,2957,3023,3058,3141,3189,48,48,48,48,48,141939266,147964560,149663149,152082391,160831256,40701,41338,41296,40967,42683,48001,48946,48942,48418,50433
106031121,Nelson Bay Peninsula,11235,11427,11761,11970,12173,51,51,51,51,51,571953220,585436863,616656184,632451832,672849415,37299,37726,38227,39719,40786,50908,51233,52432,52836,55274
106031122,Raymond Terrace,6544,6413,6598,6705,6859,42,42,42,42,42,324418288,322510685,335162738,347845636,358880037,43981,45282,45696,47456,48288,49575,50290,50798,51879,52323
106031123,Seaham - Woodville,3297,3303,3442,3524,3496,46,46,46,47,47,197386501,208907522,220442259,234447294,227128671,46034,47357,49064,51294,51384,59869,63248,64045,66529,64968
106031124,Tea Gardens - Hawks Nest,2337,2469,2617,2700,2716,58,59,60,60,60,100023572,112639989,120269619,123818064,125726488,29032,29089,30506,31915,32152,42800,45622,45957,45859,46291
106031125,Williamtown - Medowie - Karuah,7076,7188,7422,7604,7861,43,43,44,44,44,392987684,404112205,423442091,448479510,474359250,47207,48108,48963,50305,52327,55538,56220,57052,58979,60343
106041126,Muswellbrook,6113,6017,6105,6221,6394,41,41,41,41,40,425822264,415949495,407647140,422988754,449628467,53011,53156,52531,54767,56157,69658,69129,66773,67994,70320
106041127,Muswellbrook Region,2124,2071,2160,2203,2202,44,44,45,45,46,130868986,130847791,132028576,137372764,141601220,46699,47331,48224,50219,51358,61614,63181,61124,62357,64306
106041128,Scone,3765,3546,3507,3508,3532,41,43,44,43,42,289652473,223444044,220660931,219802994,317661188,43338,47280,48567,48997,50651,76933,63013,62920,62658,89938
106041129,Scone Region,4075,4054,4264,4342,4341,45,44,45,45,45,236870685,233035319,232083018,249356151,236717978,42914,44083,43901,45308,46601,58128,57483,54428,57429,54531
107011131,Dapto - Avondale,11696,11927,12294,12589,12748,43,43,43,43,42,609683802,627634037,658373899,696053837,730000700,44104,45198,46418,47798,50134,52128,52623,53552,55291,57264
107011132,Horsley - Kembla Grange,4599,4786,5285,5558,5904,41,41,41,40,40,276381153,291710450,324688233,356481883,394050755,51418,51784,53093,55629,57914,60096,60951,61436,64139,66743
107011133,Port Kembla Industrial,np,np,np,np,3,np,np,np,np,34,np,np,np,np,184578,np,np,ma,np,62115,np,np,np,np,61526
107011134,Unanderra - Mount Kembla,8559,8539,8700,8777,8839,44,44,43,44,44,521380014,526848057,537902913,562690109,589232648,48479,49032,50095,52830,54523,60916,61699,61828,64110,66663
107011545,Berkeley - Lake Heights - Cringila,5943,6066,6281,6427,6544,41,41,41,41,40,291457226,300120362,316997317,334515398,354144215,42373,42856,43701,45383,47058,49042,49476,50469,52048,54117
107011546,Port Kembla - Warrawong,3883,3912,4129,4224,4301,42,42,42,41,41,192854289,200693686,208318547,221791668,237601492,41155,43005,43305,44953,47012,49666,51302,50453,52507,55243
107011547,Windang - Primbee,1954,1932,2060,2122,2110,46,46,45,45,45,102193175,103488727,111442189,116802530,123049147,42913,45337,45416,46509,49990,52299,53566,54098,55044,58317
107021135,Illawarra Catchment Reserve,np,np,3,np,6,np,np,35,np,51,np,np,234161,np,407223,np,np,59411,np,62199,np,np,78054,np,67871
107031136,Albion Park - Macquarie Pass,7874,7983,8292,8780,9350,41,41,41,41,40,451666148,468129777,482394288,531119188,578470651,49099,51428,50955,53031,54601,57362,58641,58176,60492,61869
107031137,Albion Park Rail,3486,3558,3559,3604,3693,42,41,42,42,41,173365945,183454951,186034918,191602782,204524416,43486,45404,46357,47821,49728,49732,51561,52272,53164,55382
107031138,Kiama,4483,4536,4695,4809,4879,50,50,50,50,50,262696096,275604257,284683658,292225046,313949115,43091,43323,43059,44405,47009,58598,60759,60635,60766,64347
107031139,Kiama Downs - Minnamurra,3622,3686,3654,3678,3675,47,46,46,47,47,216370859,225866044,223129047,231228982,235520896,46017,48832,49110,50556,50279,59738,61277,61064,62868,64087
107031140,Kiama Hinterland - Gerringong,4542,4627,4730,4859,4902,49,49,49,49,49,265738260,285248218,300074850,313165927,322920033,42969,45224,46842,48070,48845,58507,61649,63441,64451,65875
107031141,Shellharbour - Flinders,8972,9324,9840,10257,10609,42,43,43,43,43,557861499,589156414,620716037,665996861,716404344,49845,51037,51583,53138,55507,62178,63187,63081,64931,67528
107031142,Shellharbour - Oak Flats,5291,5500,5559,5611,5731,44,43,43,44,43,285825499,303454323,303600697,317578191,336260305,45232,46133,46309,48228,49834,54021,55174,54614,56599,58674
107031143,Warilla,9168,9356,9411,9702,9775,43,43,43,43,43,451275698,474069839,475780066,506798340,528373212,42072,43883,44163,46175,47760,49223,50670,50556,52236,54054
107041144,Balgownie - Fairy Meadow,11008,11038,11345,11619,11927,44,44,44,44,44,654084342,666594707,684778298,729724795,779397648,45891,47421,47432,49693,51197,59419,60391,60359,62804,65347
107041145,Corrimal - Tarrawanna - Bellambi,7919,8087,8198,8342,8513,43,43,43,43,43,440091786,454388366,465355935,511668277,523463210,46022,47260,48274,50423,52502,55574,56188,56765,61336,61490
107041146,Figtree - Keiraville,11375,11505,11870,12213,12560,44,43,43,43,43,676377155,700613007,724516100,768670167,815203644,47010,48252,48488,50062,51712,59462,60896,61038,62939,64905
107041147,Helensburgh,5237,5371,5476,5570,5630,43,43,43,43,43,344353759,352543444,369097198,389964467,413035884,53652,54475,54999,57619,59592,65754,65638,67403,70012,73363
107041148,Thirroul - Austinmer - Coalcliff,6976,6947,7152,7334,7491,46,46,46,47,47,514734678,541380498,545498143,579351759,620163801,54993,56471,56684,58268,60075,73787,77930,76272,78995,82788
107041150,Woonona - Bulli - Russell Vale,10708,10808,11259,11622,11812,44,44,44,44,44,697037313,720024903,764707608,803393018,852678331,52197,53657,54746,55761,58102,65095,66620,67920,69127,72187
107041548,Wollongong - East,7529,7738,8300,8712,8943,39,39,38,38,38,444282248,463114995,504606696,538754896,586050232,45740,46771,47132,49255,52118,59009,59849,60796,61841,65532
107041549,Wollongong - West,7973,8044,8426,8808,9087,39,39,38,37,37,458743826,473223380,491294272,528915345,561498094,45706,46359,45866,47193,48984,57537,58829,58307,60049,61791
108011151,Bulahdelah - Stroud,2390,2402,2448,2516,2544,49,49,49,49,49,108481459,109380717,113063311,116144728,122710413,36166,37404,38584,38467,40129,45390,45537,46186,46162,48235
108011152,Forster,6658,6747,6953,7044,7084,52,52,52,52,52,290299380,301437879,312544771,323593499,333449064,33828,34816,35304,36522,37777,43602,44677,44951,45939,47071
